,distance,coauthorship,title1,department1,duration1,title2,department2,duration2,is_same_title,is_same_department,duration_difference,Chair1,Fellow1,Head1,Lecturer1,Professional1,Professor1,Aerospace  Mechanical & Mechatronic Engineering1,Australian Centre for Field Robotics1,Chemical & Biomolecular Engineering1,Civil Engineering1,Electrical & Information Engineering1,Information Technologies1,Chair2,Fellow2,Head2,Lecturer2,Professional2,Professor2,Aerospace  Mechanical & Mechatronic Engineering2,Australian Centre for Field Robotics2,Chemical & Biomolecular Engineering2,Civil Engineering2,Electrical & Information Engineering2,Information Technologies2
735,1.117181623,0,Fellow,Australian Centre for Field Robotics,2118,Professor,Civil Engineering,4472,0,0,2354,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
736,1.117250679,0,Professor,Civil Engineering,6687,Professor,Information Technologies,6543,1,0,144,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
737,1.117345671,0,Professor,Civil Engineering,213,Professor,Civil Engineering,1175,1,1,962,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
738,1.117444509,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Lecturer,Aerospace  Mechanical & Mechatronic Engineering,2159,0,1,4528,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
739,1.117467502,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,4192,Lecturer,Civil Engineering,3105,0,0,1087,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
740,1.117607771,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,4192,Professor,Chemical & Biomolecular Engineering,4920,1,0,728,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
741,1.117918496,0,Professor,Australian Centre for Field Robotics,6687,Fellow,Australian Centre for Field Robotics,2118,0,1,4569,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
742,1.118047909,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
743,1.11811741,0,Professor,Civil Engineering,1175,Lecturer,Civil Engineering,2791,0,1,1616,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
744,1.118138562,0,Fellow,Civil Engineering,1091,Fellow,Information Technologies,391,1,0,700,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
745,1.118193729,0,Fellow,Civil Engineering,6687,Professor,Australian Centre for Field Robotics,6666,0,0,21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
746,1.118294061,0,Professor,Information Technologies,6687,Professor,Civil Engineering,3457,1,0,3230,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
747,1.118372623,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Lecturer,Electrical & Information Engineering,422,0,0,6265,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
